"id","default_code","name","lst_price","standard_price","recurring_invoice","subscription_template_id/id","type","taxes_id/id"
"product_product_schweizmobil_plus","","Schweizmobil Plus","35.0","0.0","True","sale_subscription_template_schweizmobil_plus","Service","l10n_ch.1_vat_77_incl"
"product_product_discount_10_percent_onetime","","10.0 % discount on total amount","0.0","0.0","False","","Service","l10n_ch.1_vat_77_incl"
